case_id,class,sha256,size_bytes
BME-044,BME,aa4b2faccebbc54f991741bc2a04fc5f286a2167f1f99f81ea9242019c967bbc,5909804
BME-045,BME,7ace54795814f13da28fe9539326634e40db1837c9fb0007e06d0b7de038a65c,5568314
BME-046,BME,09462d11571ea2c7e32ddaf59e167bead07fb8bb499ea3b0c7b1b9cb98964fca,2842343
BME-047,BME,9b033670e3f2fc43ead679c64776d240dcfa27ed893d34058bc0df3f1af47e79,7660476
BME-048,BME,411eb575c7dffd7874c4c07f0b9a3b4271caac4aa567077ebc5a5a044b91ab4c,6328240
NBME-001,NBME,fb566772bb1f8852284c316e86312025f1103e3fb752ab01490b11397679c622,6271689
NBME-002,NBME,58b7a92114e12d9ecd752f019ddeb8f6da368bc90aa15ec4201136a6409a73a5,141186922
NBME-003,NBME,a199e124f6a841fc70082682886e7c31953d34e0a45c04f4172463aa1119b9fc,146105646
NBME-004,NBME,532680f0826aee6923e5a46e097fd997945c03284586442db79565d5d6cbd5cb,223262636
NBME-005,NBME,6c94b4841a1e8ae219d43f43a0dab30fa0d251ee5ab28eeb372f1739cea0f0db,94291658
NBME-006,NBME,be79f40c8238c65127cb61b6b12be887a70ceafa77a9c36a2a5db70535f3c061,83779746
NBME-007,NBME,94505aa5b174a6a8b3a62eb90b2575530e42ff3187f59ca90ce321db310bb4ed,103214742
NBME-008,NBME,d11aefdf2e74dcde2e5968752c3aa8332178456bdadef3526787d449f17e1aea,107247995
NBME-009,NBME,f6045b122265f3b6038f98db7be8517ab8d572ee153a6e7d1b0641fda454b7ac,99484590
NBME-010,NBME,f82693cbfe05e8932d3b88eb1061982baf3cd037610ec51b77d37d8cf5aa97d5,3635841
NBME-011,NBME,6be0d2a64a9a63f3e181ac85cd3fc29377eb9c4d389b553976e40b2e7e01c355,5444086
NBME-012,NBME,32bc5b2f3144431758c54d019389a06b8220855accc61dd44ba685437b7b7868,91279064
NBME-013,NBME,f89032b29065c7b2b780daa970f741257fd3094326073fa79482e250911d4b31,5540246
NBME-014,NBME,47088d29bf014175aaac0318805144c95480edb31d2e5de1eb68ca20610a8bd3,7631909
NBME-015,NBME,f501e46f06db6e74bf0084547f2c135f5ca82bfe89c5a2e36442376f632061db,5323640
NBME-016,NBME,3e2f9b7c3f42e6dec9d1e4966cd5ae8c19c488e4af8b8017eb2f25ec41055127,10946859
NBME-017,NBME,b913e2a1db7b50d1aa0a5ef3dc83743f6076111edc110bf631c04fc4e2020d2d,3048133
NBME-018,NBME,977646a9990c896892ec2182de6fda376034e0ffb5f54d7c338544c4a8a78381,5208591
NBME-019,NBME,07c1e27f4e1d4a636bb9be94490bb7941852464b957afd1c64f8cede141c060e,91100682
NBME-020,NBME,2d3a426208bc34bc490d07978fba6b864321cbcf8b5caef56fab33de4cb58882,2844104
NBME-021,NBME,d924e67835cff82feda2ba9903da1d758c6df269c10890794a77d16f6acc2521,5971854
NBME-022,NBME,6561c5f6f525f3e09d10bdf61590912d6a7db806751652316ec4fd7570d73c30,4376220
NBME-023,NBME,dd0b0b4dc24383ad569c620b51bc6c17a797a0e507b3532fa37b6c0eecdb75e3,9515299
NBME-024,NBME,e9c6b7a696223784ce5258cf26c11d1dd575cd03b3e944d5535e7df0318cfebb,10363760
NBME-025,NBME,12fc200f56639152c28f07c5c5fffcbfce26a27e3f58273157425eb6d00afb9e,9747574
NBME-026,NBME,0e9d322bab1cee840a66c93ca82dda71a5abc507a832a757975e30b0d35551b6,9569016
NBME-027,NBME,47e852355ce6a75258658d44d03f1e89ce5708d81d0dc542da2e136748bdadbb,8111076
NBME-028,NBME,66f52da7165a61f1efe8f3779180e8bc703b2bda8f51c4798de15866c60cdbed,5876342
NBME-029,NBME,6df2c5d3661d5fc271e4ec588063dd560ca74877120e2a34ee832f57204d4557,2973382
NBME-030,NBME,4543aea367560a6f0cefecb5ce8342bbbd0b3e12a38eb88fe54de879c215b483,6822958
NBME-031,NBME,0892a60deec875e3d1285db7b9fc92b2230b888c7980361ac19e9f5e04f75a4f,7833542
NBME-032,NBME,b020efe9bd6116fe81ec165015a7e3fba8a7e1b480d498bb55e7781284eec981,6694207
NBME-033,NBME,8432594e47cea80af39b2104fb1f3210df5e73e67aa0a897caef87a6793c7b0b,3032548
NBME-034,NBME,6cdb530594e312824505162ea3cc6987a4faa1fac636180bc1de1ff84d0c9736,2943097
NBME-035,NBME,ddc621b61a6008f8b246c2e32e979f039d666e5957f8daf34a2ebcf3ae2512aa,2903033
NBME-036,NBME,dc698156fc87b72a7347cd506e2e5f0ef992bad18d10fbc1f7b0385be75113c5,2956094
NBME-037,NBME,27399fb60b76851e5795f17784014b3677389443860e5a44e4ea09cff7ba23b9,2961880
NBME-038,NBME,0d3dc96e9974018ef3aa9f053a06a7be9d4b4a4d508f10df6bb6c5f581de9383,2975117
NBME-039,NBME,bd5de4dbd3973d350fd15f43dd7344a614c9fdb9da402938b1d329a6da86945b,10256950
NBME-040,NBME,03c5592ec8c4ba7830c8b71ddc69ca291bd65957abd36805d8f23b866f5e82d9,6389853
NBME-041,NBME,3e27576ea13080285e825028e339bdd0ac4058fc6f2cc8e513fd80da90ebbce8,6059722
NBME-042,NBME,abf8b84b5d7ed30846f1927cb3162c63f3d41cd7452439d3b1e5b0defeaee374,5131902
NBME-043,NBME,6934f62f7573dda5250184935bae903b7f61ca9ec072f9f99db222fcc8e38ea0,5483078
NBME-044,NBME,2a6b2783228be5ee98c2662f4a251550c7e1d5b09c0e579ae676dd0a688dc722,9770730
NBME-045,NBME,5c37ba438d9815e1eef5f289dc5633fa7e72a323eff1d0288d37f9684a9e65fe,6810375
NBME-046,NBME,1ac4ec1d4070071e268bc49071bbd0f645affd52bdb55752de6f84527bab2766,6789951
NBME-047,NBME,7ece888036ae696182e86da1012276685e947f73a7ffe046593658f1044f6981,6770176
NBME-048,NBME,e1f48649626b7bbeaa3a635727843b4de2c1cf9dea44b252b6b1bd467cd9b194,7458766
NBME-049,NBME,7265fddac1464ab712d978ec7c48838df7865de0903d871f3928d4529b099599,51723577
NBME-050,NBME,c8267c72a477b3b98fb99f17c7840af3eb9dbd19429b8a41215ac568a12bfcbd,9710502
NBME-051,NBME,7c8c47c45a394458d7d6d88f4bef9cae62ba8c1b07def7d4f99638a228951e27,56472991
NBME-052,NBME,68a32c7788c1d2834dfc0cc2f186530a0f323129c8634cefae5210fee9643c2b,3035152
NBME-053,NBME,e3a7ba2521d1de1705c1f780a6693a35101cf5e7c798e8d82676b7add9ed8a51,6339321
NBME-054,NBME,fdc6d2ff5c5d2506258258cc0a390d81ed0df5db2c13ea0d8f5cbf46f57ac718,5814841
NBME-055,NBME,28c79440352527a802bd96d855f05468c399f814c4aedb3ce77daa9afe378d1d,5414319
NBME-056,NBME,82c6b328ff0743da0d19ff0f28174b6c8996573af4017a8267118be7d1028a6c,6215150
NBME-057,NBME,debf1b9a915debdb2434b1a8c097fe04ade9e9855aa8a8dd2eaf6098f588c072,5772610
NBME-058,NBME,1b2465e0577b1f447135dbd63c80719560a541609b6ae3b884060e14105ead3b,197989215
NBME-059,NBME,edda072bd993d8a2171d62bf228baacf2713db0e02bd06b4d183a0952e5b8fdc,10296072
NBME-060,NBME,da44a5e4c777f3941d975e6e14d9ce803518b3adb2c7d72d64864cb3384a40e9,5405593
